Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""410"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""web"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""4170"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""8900"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.14.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""4860"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""bbsp"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""1626"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""18484"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.2.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""440"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""amp"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""1627"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""6056"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.3.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""200"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""igmp"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""1628"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""3796"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.4.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
